run_id,fleet_size,n_waypoints,seed,status,total_cost,makespan,shortest_route,route_balance_ratio,route_cost_std,mean_route_cost,total_traj_steps,residual_collisions,fail_count_total,t_dist_matrix,t_vrp_solve,t_trajectory,t_total
48,2,100,7,success,598.2982482910156,301.4822998046875,296.8159484863281,1.015721363161772,2.3331756591796875,299.1491241455078,12475,0,0,56.64367932599271,121.01561898100772,504.9838701869885,682.6647847109998
49,2,100,2024,success,522.6738586425781,270.50628662109375,252.16757202148438,1.072724317613872,9.169357299804688,261.33692932128906,11725,0,0,56.696737728998414,121.15045809400908,479.3664998230088,657.2365094530105
50,2,100,314,success,623.5996704101562,332.97479248046875,290.6248779296875,1.1457201972951097,21.174957275390625,311.7998352050781,13525,30,0,56.85146089400223,120.9621778199944,633.1637214229995,810.9992306899949
51,3,10,42,success,166.51741409301758,65.75393676757812,37.09353256225586,1.7726523257718885,13.047211185027905,55.505804697672524,2288,0,0,10.60391591899679,3.000014706994989,188.29986374400323,201.92462859899388
52,3,10,123,success,195.50708389282227,77.020751953125,54.1952018737793,1.4211728952040152,9.339145665642485,65.1690279642741,2425,0,0,10.686145380008384,1.3236281950084958,183.82786123800906,195.85934881301364
53,3,10,7,success,207.6872787475586,69.3709716796875,68.95309448242188,1.0060603110042023,0.19518606905227626,69.22909291585286,2300,0,0,10.520365183998365,11.915144120997866,204.62843999100733,227.08482114398794
54,3,10,2024,success,169.51669311523438,58.89484786987305,52.90428924560547,1.1132338929355372,2.5914463062767803,56.50556437174479,1938,0,0,10.647151562996441,67.74578030400153,157.25047259000712,235.66520972800208
55,3,10,314,success,179.7193717956543,61.43117141723633,57.962440490722656,1.0598444595697945,1.4468090353257408,59.9064572652181,2088,41,0,10.58873200500966,68.37580364699534,173.0470492309978,252.03281639001216
56,3,25,42,success,272.8440475463867,105.59184265136719,71.4508285522461,1.4778253071503096,14.354291855109052,90.94801584879558,3875,0,0,17.84753288399952,120.35236307699233,215.40023617900442,353.6199128099979
57,3,25,123,success,268.0080337524414,91.07550811767578,87.89161682128906,1.0362251988475824,1.3164611738023417,89.3360112508138,3113,0,0,18.12583294599608,120.12989239800663,233.24508506398706,371.5215919839975
