fleet_size,n_waypoints,seed,vrp_makespan_lb_m,vrp_total_cost_lb_m,vrp_objective_lb_m,mapf_makespan_time_lb_s,mapf_total_time_lb_s,mapf_objective_time_lb_s,vrp_objective_best_bound_m
6,10,7,60.11347579956055,139.71014022827148,99.91180801391602,32.05673789978027,89.85507011413574,60.95590400695801,0.0
6,10,2024,53.43363952636719,102.98921155929565,78.21142554283142,28.716819763183594,71.49460577964783,50.10571277141571,0.0
6,10,314,55.3369140625,94.8894395828247,75.11317682266235,29.66845703125,67.44471979141235,48.55658841133118,0.0
6,25,42,62.235652923583984,165.83976030349731,114.03770661354065,33.11782646179199,132.91988015174866,83.01885330677032,0.0
6,25,123,64.9593505859375,188.6831202507019,126.8212354183197,34.47967529296875,144.34156012535095,89.41061770915985,0.0
6,25,7,61.25302505493164,139.4934964776039,100.37326076626778,32.62651252746582,119.74674823880196,76.18663038313389,0.0
6,25,2024,65.04412841796875,177.58465313911438,121.31439077854156,34.522064208984375,138.7923265695572,86.65719538927078,0.0
6,25,314,61.44879913330078,163.56571006774902,112.5072546005249,32.72439956665039,131.7828550338745,82.25362730026245,0.0
6,50,42,62.197105407714844,232.56334900856018,147.3802272081375,36.04694575071335,216.2816745042801,126.16431012749672,0.0
6,50,123,64.68649291992188,263.437120705843,164.06180681288242,38.61976005882025,231.7185603529215,135.16916020587087,0.0
6,50,7,64.64247131347656,260.33755645155907,162.49001388251781,38.361463037629925,230.16877822577953,134.26512063170472,0.0
6,50,2024,65.60980987548828,224.01603436470032,144.8129221200943,35.33466953039169,212.00801718235016,123.67134335637093,0.0
6,50,314,61.67268371582031,271.5551772117615,166.6139304637909,39.29626476764679,235.77758860588074,137.53692668676376,0.0
6,75,42,62.77212905883789,325.20746552944183,193.98979729413986,52.100622127453484,312.6037327647209,182.3521774460872,0.0
6,75,123,64.8521728515625,350.4906132221222,207.67139303684235,54.207551101843514,325.2453066110611,189.72642885645232,0.0
6,75,7,64.51533508300781,328.0849276781082,196.300131380558,52.340410639842354,314.0424638390541,183.19143723944822,0.0
6,75,2024,65.3169937133789,301.64688444137573,183.48193907737732,50.13724037011465,300.82344222068787,175.48034129540125,0.0
6,75,314,61.37986373901367,325.8530011177063,193.61643242835999,52.15441675980886,312.92650055885315,182.540458659331,0.0
6,100,42,64.47872924804688,379.12607645988464,221.80240285396576,64.92717303832372,389.5630382299423,227.245105634133,0.0
6,100,123,64.8521728515625,378.6824287176132,221.76730078458786,64.89020239313443,389.3412143588066,227.1157083759705,0.0
6,100,7,65.00392150878906,374.6193087697029,219.811615139246,64.55160906414191,387.30965438485146,225.9306317244967,0.0
6,100,2024,66.71817779541016,374.4796950817108,220.5989364385605,64.53997459014256,387.2398475408554,225.88991106549898,0.0
6,100,314,65.31368255615234,375.54819679260254,220.43093967437744,64.62901639938354,387.77409839630127,226.2015573978424,0.0
8,10,42,61.96142578125,121.44867515563965,91.70505046844482,32.980712890625,80.72433757781982,56.85252523422241,0.0
8,10,123,64.06230926513672,112.49884843826294,88.28057885169983,34.03115463256836,76.24942421913147,55.140289425849915,0.0
