rank,gamma_method,epsilon_scale,delta_k,delta_agg,back_face_threshold,mean_f1,mean_precision,mean_recall,mean_f2,std_f1,min_f1
111,mean,1.1,7,p99,-1e-06,0.9207471160,0.8787555687,0.9697507680,0.9491714309,0.0611319331,0.0049317660
112,p40,1.0,4,max,-1e-06,0.9206923518,0.8822242691,0.9654031870,0.9466591005,0.0605822543,0.0061703555
113,p40,0.95,5,max,-1e-06,0.9206870429,0.8820061949,0.9656304846,0.9467902149,0.0604946083,0.0056955240
114,p30,1.1,6,p99,-1e-06,0.9206852467,0.8781693716,0.9701990713,0.9494357168,0.0603017716,0.0050565445
115,p25,0.9,5,max,-1e-06,0.9205984148,0.8815513090,0.9659458063,0.9469419176,0.0602439318,0.0044015575
116,p40,0.9,6,max,-1e-06,0.9205660407,0.8828200802,0.9644707100,0.9460604965,0.0607631189,0.0060386473
117,p25,0.85,6,max,-1e-06,0.9205203002,0.8822257929,0.9650254172,0.9463717649,0.0603813252,0.0048099722
118,p25,1.0,7,p99,-1e-06,0.9205174015,0.8777819024,0.9703107013,0.9494281473,0.0602436976,0.0049271197
119,p40,1.05,7,p99,-1e-06,0.9204728435,0.8778411183,0.9702023637,0.9493280319,0.0608271573,0.0048800325
120,p75,1.0,6,max,-1e-06,0.9204277777,0.8832490705,0.9639221409,0.9456247273,0.0621012835,0.0079059131
121,p60,0.95,6,max,-1e-06,0.9204232447,0.8828190510,0.9642877443,0.9458624101,0.0614964678,0.0066381860
122,p60,1.0,5,max,-1e-06,0.9204087826,0.8817407513,0.9654979408,0.9465604466,0.0614012305,0.0068706036
123,p60,1.05,4,max,-1e-06,0.9203862189,0.8819105417,0.9652750630,0.9464181067,0.0615223181,0.0069103952
124,p30,0.95,4,max,-1e-06,0.9203459592,0.8810655683,0.9660452933,0.9468822828,0.0605517022,0.0048719423
125,p75,1.1,4,max,-1e-06,0.9203260578,0.8821520302,0.9649870509,0.9461969890,0.0621843881,0.0073892431
126,p75,1.05,5,max,-1e-06,0.9203055198,0.8820519043,0.9650277743,0.9462167319,0.0621229342,0.0070372060
127,p30,0.9,5,max,-1e-06,0.9201815675,0.8806484994,0.9661975097,0.9468993589,0.0605499393,0.0054626383
128,median,1.0,4,max,-1e-06,0.9201247988,0.8808633022,0.9658951679,0.9466809545,0.0611497497,0.0058430995
129,p30,1.0,7,p99,-1e-06,0.9200832181,0.8768479856,0.9705731789,0.9493814923,0.0606174755,0.0051266277
130,p30,0.85,6,max,-1e-06,0.9200756960,0.8813521161,0.9651844611,0.9462622234,0.0607648073,0.0049397753
131,median,0.9,6,max,-1e-06,0.9200717482,0.8815616086,0.9649945705,0.9461334814,0.0611803425,0.0063001525
132,median,0.95,5,max,-1e-06,0.9200646849,0.8805133643,0.9661787385,0.9468193456,0.0610934085,0.0062124116
133,mean,1.0,4,max,-1e-06,0.9200487686,0.8807039612,0.9659843513,0.9466890038,0.0613587128,0.0057245557
134,mean,0.95,5,max,-1e-06,0.9199826860,0.8804097867,0.9661891485,0.9467791129,0.0613127840,0.0060917067
135,p60,1.1,7,p99,-1e-06,0.9199725217,0.8772440012,0.9700958132,0.9489987166,0.0621711996,0.0055899381
136,mean,0.9,6,max,-1e-06,0.9199305509,0.8813387555,0.9650120597,0.9460731240,0.0614289144,0.0061724298
137,p25,1.05,6,p99,-1e-06,0.9199286260,0.8763953048,0.9707559426,0.9494225989,0.0605345727,0.0043792124
138,p40,1.1,6,p99,-1e-06,0.9197652086,0.8763243406,0.9705854727,0.9492307946,0.0612665814,0.0051953309
139,median,1.05,7,p99,-1e-06,0.9197350409,0.8763889630,0.9705431132,0.9491760514,0.0616293444,0.0059827911
